"X0","X8","X16","X24","X32","X40","X0.1","X24.1","X48","X72","X96","X120","X144","X168","X192","X216","X240","X264","X288","X312","X336","X1","X25","X49","X73","X97","X121","X145","X169","X193","X217","X241","X265","X289","X313","X337","X2","X26","X50","X74","X98","X122","X146","X170","X194","X218","X242","X266","X290","X314","X338","X0.2","X8.1","X16.1"
0.930710734,0.93131418,0.931392602,0.929713558,0.930611719,0.928026936,0.930710734,0.929713558,0.931112677,0.929314865,0.929934654,0.929457953,0.930675243,0.930383758,0.929595419,0.928929249,0.930064042,0.929636307,0.931306668,0.929418866,0.93100431,0.93010884,0.928825108,0.929085088,0.930255543,0.92971795,0.931332825,0.929684093,0.929593081,0.93124242,0.928656842,0.930147625,0.929371553,0.929306987,0.929906124,0.928793926,0.930277673,0.92941358,0.930477744,0.931238355,0.930667808,0.929720663,0.930055507,0.929434714,0.931231597,0.929789363,0.929904229,0.929685938,0.930194058,0.93027644,0.929419981,0.930710734,0.93131418,0.931392602
0.445334184,0.500487837,0.489095654,0.470064651,0.486914851,0.494952498,0.445334184,0.470064651,0.459748597,0.473555102,0.475183386,0.486377814,0.462239771,0.468104626,0.464661107,0.461776012,0.467912167,0.473647454,0.472766794,0.44995954,0.470743688,0.471798859,0.496945789,0.468431992,0.448015457,0.462838438,0.488921764,0.488092782,0.480897238,0.462785038,0.472432769,0.48448704,0.447269532,0.4868874,0.464215112,0.512938943,0.497699109,0.476668029,0.461369375,0.533046358,0.46298189,0.465859059,0.47393074,0.479943274,0.476024913,0.49223469,0.490814755,0.477830892,0.457176118,0.483455241,0.476208919,0.445334184,0.500487837,0.489095654
0.563817481,0.614573387,0.607044307,0.589403308,0.590707658,0.59870988,0.563817481,0.589403308,0.576428713,0.584477165,0.580141408,0.597150766,0.594278689,0.577230126,0.589729541,0.584489975,0.59781228,0.586257552,0.592310554,0.59302269,0.574136443,0.582470526,0.59707941,0.586020535,0.557701403,0.576003736,0.591275477,0.574901867,0.581835946,0.599023979,0.582047778,0.595908256,0.556340002,0.604361363,0.597608204,0.611554651,0.597983519,0.600809824,0.613630978,0.578607077,0.613833931,0.585404625,0.620194093,0.592426173,0.598517935,0.595459053,0.587027259,0.606949246,0.574616178,0.615459528,0.548182714,0.563817481,0.614573387,0.607044307
0.350599166,0.386184528,0.383331596,0.382955919,0.367286676,0.356975861,0.350599166,0.382955919,0.370326403,0.373454049,0.366884593,0.3696357,0.366062463,0.369817153,0.394423561,0.347670118,0.378323312,0.367016035,0.377119087,0.368551886,0.370460837,0.361060292,0.347656515,0.335964857,0.360804462,0.357823651,0.356465309,0.335465178,0.359440164,0.360182852,0.382006157,0.374457168,0.378083499,0.358348207,0.352407264,0.356124852,0.361328854,0.394921947,0.354179809,0.350882941,0.355416436,0.3562657,0.38023916,0.360508615,0.350800674,0.394128686,0.382332478,0.391573348,0.353557876,0.378664518,0.352862055,0.350599166,0.386184528,0.383331596
0.269736723,0.242809266,0.250617321,0.276797196,0.270198673,0.265906722,0.269736723,0.276797196,0.28562997,0.297387585,0.277507874,0.256843957,0.270934645,0.240171541,0.264837447,0.274539987,0.23660688,0.293410131,0.264727777,0.261122673,0.266136352,0.288740234,0.288623717,0.275798164,0.239293235,0.285555403,0.266035937,0.279460085,0.278624719,0.273912327,0.283086277,0.256849986,0.286311905,0.268905178,0.267123956,0.289131301,0.271535374,0.256753741,0.239584364,0.258529798,0.285809279,0.299706774,0.287888346,0.28344525,0.258074956,0.268347528,0.2644635,0.29971674,0.25515159,0.257148603,0.266720238,0.269736723,0.242809266,0.250617321
0.492494094,0.46727282,0.488721085,0.489489966,0.480150761,0.487372575,0.492494094,0.489489966,0.465410738,0.460227538,0.466244477,0.47469881,0.469989364,0.474758987,0.464050245,0.477542316,0.467996627,0.476706552,0.470683074,0.47003631,0.485112093,0.458897092,0.486918988,0.448349431,0.498313318,0.479159021,0.475746637,0.460710918,0.491258476,0.486131891,0.45907058,0.464209391,0.462435312,0.462900586,0.46090413,0.501131554,0.472800971,0.470318663,0.475433653,0.487701695,0.467603164,0.471562145,0.448536287,0.473621199,0.494143496,0.476444818,0.474723259,0.466662672,0.467766702,0.507321344,0.473389194,0.492494094,0.46727282,0.488721085
0.612340619,0.592725317,0.603608256,0.612747724,0.616659453,0.605002099,0.612340619,0.612747724,0.573699565,0.588301836,0.61828806,0.614441222,0.606551841,0.603073585,0.587950773,0.6097478,0.593432814,0.602226447,0.59329096,0.599969501,0.601025739,0.613181769,0.588543842,0.620099409,0.608111,0.601224106,0.600156647,0.615311358,0.605824907,0.606344767,0.604851547,0.597946442,0.619932739,0.598126441,0.597777605,0.605023843,0.623101665,0.605465489,0.578798548,0.61994587,0.601193627,0.593934059,0.621503278,0.6138271,0.624391409,0.626210251,0.581583061,0.593801038,0.601721504,0.627642741,0.597428643,0.612340619,0.592725317,0.603608256
0.436841236,0.434986002,0.454799998,0.436524563,0.4464042,0.43662473,0.436841236,0.436524563,0.48498897,0.425614115,0.420617869,0.438802349,0.462422545,0.424706452,0.419726214,0.45088524,0.480108304,0.447296656,0.429370521,0.42755763,0.442833197,0.451023117,0.443606034,0.43118743,0.410197683,0.445685959,0.45050053,0.442743636,0.429849008,0.450377326,0.474321649,0.42932426,0.476108805,0.453300357,0.437736945,0.415660827,0.43079601,0.485220438,0.450527961,0.423275297,0.446068339,0.411009478,0.427518319,0.458595137,0.432530767,0.419479661,0.404946479,0.445533015,0.431659366,0.440023191,0.406857274,0.436841236,0.434986002,0.454799998
0.483480596,0.476133598,0.486339941,0.47106207,0.497158742,0.521141438,0.483480596,0.47106207,0.492429103,0.491764401,0.448573291,0.50925907,0.512304583,0.49724607,0.503958139,0.487064131,0.483262752,0.49912253,0.535311811,0.481574389,0.51567553,0.501338312,0.513377042,0.488046767,0.501780847,0.498879431,0.48475886,0.507996785,0.504374959,0.496146568,0.479939041,0.485168114,0.490173333,0.486297125,0.470290389,0.47586577,0.511109986,0.492779548,0.483025771,0.501700424,0.506697252,0.516772881,0.472881572,0.491559181,0.487837207,0.469069595,0.48594228,0.466634778,0.524428356,0.502800363,0.48740593,0.483480596,0.476133598,0.486339941
0.342547081,0.35005886,0.353187252,0.349189713,0.372854728,0.342541002,0.342547081,0.349189713,0.353405692,0.355523226,0.352968317,0.341477494,0.335870231,0.378734339,0.365234098,0.363872609,0.366404751,0.35975459,0.368615014,0.359725942,0.374698056,0.366441883,0.361517737,0.362457243,0.374660578,0.345046757,0.367435176,0.336120264,0.331761979,0.351682937,0.375856144,0.349575288,0.343566882,0.349984562,0.32847554,0.34274872,0.343291664,0.356196241,0.384718247,0.373193023,0.345571184,0.339698382,0.34800549,0.32423162,0.365086059,0.383795114,0.329626225,0.36049329,0.345814291,0.380934206,0.351077407,0.342547081,0.35005886,0.353187252
