"X0","X145"
0.930710734,0.929684093
0.445334184,0.488092782
0.563817481,0.574901867
0.350599166,0.335465178
0.269736723,0.279460085
0.492494094,0.460710918
0.612340619,0.615311358
0.436841236,0.442743636
0.483480596,0.507996785
0.342547081,0.336120264
0.363065389,0.359574894
0.348406411,0.361839332
0.495519341,0.482275632
0.401682226,0.422110729
0.284403329,0.319645709
0.345809267,0.317670822
0.311791962,0.328350888
0.251005559,0.227471339
0.292573418,0.271850508
0.287229616,0.251415131
0.240133241,0.226054677
0.266489695,0.286656827
0.203415596,0.196962874
0.177885189,0.191332163
0.198591043,0.172986101
0.194567378,0.244561004
0.16174858,0.176313032
0.176273347,0.173169301
0.262799071,0.228355217
0.175061638,0.15121989
0.160264696,0.174167143
0.139044242,0.144316058
0.129606765,0.13434525
0.131504931,0.153287805
0.121628328,0.1270409
0.087676395,0.089666805
0.151409193,0.156992513
0.179847706,0.168743189
0.20112578,0.196038827
0.18696515,0.196429007
0.249806382,0.217762254
0.167661724,0.146914495
0.139668964,0.109340254
0.095290743,0.119793843
0.099047136,0.118037829
0.112598008,0.118385411
0.12206253,0.122637806
0.109724848,0.121095682
0.074571243,0.079361455
0.056062945,0.048237934
0.055993875,0.066071251
0.081335237,0.074185778
0.083187685,0.077430916
0.079325337,0.074362091
0.105023557,0.081770959
0.084984993,0.096663179
0.135991272,0.13700545
0.196975725,0.199419258
0.132020005,0.118758993
0.122220883,0.154201387
0.049927488,0.033926024
0.103774112,0.109973171
0.104295479,0.132457972
0.095234414,0.094303156
0.106228365,0.113111346
0.083837876,0.080751947
0.120437084,0.117092608
0.130856618,0.102742828
0.078979459,0.105067365
0.071669274,0.078272473
0.11074676,0.08274843
0.097047516,0.107460186
0.045691192,0.036757779
0.087015756,0.107285447
0.474460759,0.469214718
0.928578601,0.929528767
0.75519512,0.755947119
0.484452918,0.441870922
0.367888571,0.332242763
0.621190396,0.614960171
0.392198614,0.403425176
0.548744266,0.537657129
0.302054096,0.32719735
0.464628487,0.445380768
0.467614324,0.500107287
0.253376056,0.250973334
0.366012768,0.363429623
0.31878715,0.305778596
0.181688414,0.204791718
0.400105783,0.402015444
0.381161029,0.401423942
0.318740232,0.359855027
0.378063686,0.337866946
0.319860557,0.344295072
0.322639273,0.334192279
0.358133643,0.405897457
0.244700685,0.269088161
0.275602796,0.233334019
0.249406149,0.248393082
0.234435132,0.257778869
0.215814271,0.173365017
0.243563002,0.223060175
0.307167008,0.328829542
0.232807962,0.228363003
0.229171332,0.230288499
0.22279812,0.202025598
0.172451867,0.191046335
0.246559167,0.198711611
0.139638164,0.146702211
0.10264455,0.130198372
0.181882012,0.198680555
0.21534091,0.201908996
0.219741532,0.212176963
0.218454426,0.233951315
0.249970216,0.254243758
0.187172027,0.173814408
0.163975878,0.1743257
0.134240406,0.108767512
0.159631108,0.131576891
0.14683416,0.152080313
0.127548866,0.120598127
0.139855913,0.144518378
0.087993743,0.098013891
0.060469411,0.075508842
0.061903213,0.064849282
0.090011275,0.09456547
0.091345085,0.118247575
0.100864332,0.099962133
0.111152384,0.128654647
0.1314992,0.145779513
0.173319255,0.183254107
0.226012238,0.216447328
0.162977143,0.154479665
0.166018461,0.186449885
0.056297554,0.051367606
0.151995217,0.121238882
0.120417796,0.15748417
0.124363423,0.126967269
0.128524778,0.116230497
0.13011776,0.122022602
0.138201046,0.185352128
0.129651163,0.133816308
0.140607492,0.11912889
0.119779876,0.11630208
0.113021275,0.133640645
0.154546837,0.171291627
0.052930281,0.052372141
0.11207076,0.09787654
0.583011397,0.587958371
0.753554111,0.756007504
0.928909372,0.928662374
0.584751608,0.598266461
0.438051827,0.43163329
0.749305417,0.761453036
0.507661537,0.455543563
0.701610265,0.690862758
0.382214898,0.390296208
0.540335947,0.570503871
0.584446615,0.596836929
0.304426441,0.291738089
0.432474503,0.451957658
0.380480583,0.425012987
0.25412423,0.235362481
0.537426296,0.508477741
0.47882372,0.450922919
0.430237104,0.407578156
0.43669706,0.445481208
0.413420345,0.388758579
0.39234382,0.368545103
0.43414853,0.443589474
0.366914335,0.339555724
0.300095176,0.307973648
0.288806753,0.312465645
