"X0","X145"
21.5010290796338,29.4186916481863
16.4167499897328,20.8703966514935
24.462512796514,21.5125580520837
13.2134214135616,10.7701186300465
11.53373209423,13.0813732232616
36.2841341368729,36.9043564500733
44.5758681469451,51.8907069150265
12.1853904291451,13.1426856482209
10.3233769110978,10.7903286761115
9.20989305702129,6.11435843338961
10.394363420261,13.9352428011442
12.7496724704527,14.7337893992298
24.3844815408296,21.1549035721826
11.3811116753293,10.4073821215239
14.3709178347447,12.6661289529995
14.1955110084153,15.0930943843208
17.7585095585617,26.4866776979008
18.9872752788768,27.3314328306693
17.2729419248826,25.1477259257506
19.1574211739916,23.6348298716939
18.4901994301731,14.6169565055381
17.6483607913532,22.0456943718812
77.0420324747074,68.2783086300624
82.2377477282836,69.6105083335562
9.63548907250496,11.1625086649841
12.7934624188535,10.8510306153998
10.6948841774313,11.4438037082471
24.7634639888147,31.4302772539416
34.5347015948444,52.3017079803893
25.6147246333246,40.7436969271657
44.6096153056703,48.2072714602247
12.1598090412628,15.5946316816572
